threshold,coverage,n_signals,directional_hit_rate,n_up_down_swaps,custom_cost,macro_f1,model
0.525,0.046052631578947366,7,0.42857142857142855,2,0.5986842105263158,0.23480418217260324,logreg__all
0.55,0.039473684210526314,6,0.5,1,0.5855263157894737,0.23456124588200059,logreg__all
0.5750000000000001,0.02631578947368421,4,0.75,1,0.5723684210526315,0.24047354790972994,logreg__all
0.6000000000000001,0.02631578947368421,4,0.75,1,0.5723684210526315,0.24047354790972994,logreg__all
0.625,0.019736842105263157,3,0.6666666666666666,1,0.5789473684210527,0.22697965571205006,logreg__all
0.6500000000000001,0.013157894736842105,2,0.5,1,0.5855263157894737,0.2129823892173692,logreg__all
0.675,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__all
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.7250000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.75,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.7750000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.8,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.8250000000000002,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.8500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.875,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.9,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__all
0.3,0.9210526315789473,140,0.30714285714285716,40,1.1973684210526316,0.3050125313283208,logreg__no_sentiment
0.325,0.8289473684210527,126,0.31746031746031744,37,1.125,0.3500467613962048,logreg__no_sentiment
0.35,0.6447368421052632,98,0.336734693877551,29,0.9802631578947368,0.3821303143337042,logreg__no_sentiment
0.375,0.4868421052631579,74,0.35135135135135137,21,0.8618421052631579,0.3758772875347322,logreg__no_sentiment
0.4,0.34210526315789475,52,0.4230769230769231,13,0.7171052631578947,0.38916199239511773,logreg__no_sentiment
0.42500000000000004,0.20394736842105263,31,0.4838709677419355,7,0.631578947368421,0.357381871667586,logreg__no_sentiment
0.45,0.13157894736842105,20,0.45,3,0.6118421052631579,0.3013951343249164,logreg__no_sentiment
0.47500000000000003,0.07236842105263158,11,0.45454545454545453,2,0.5986842105263158,0.2619522840072918,logreg__no_sentiment
0.5,0.03289473684210526,5,0.4,2,0.5986842105263158,0.2277558364051255,logreg__no_sentiment
0.525,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__no_sentiment
0.55,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__no_sentiment
0.5750000000000001,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__no_sentiment
0.6000000000000001,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__no_sentiment
0.625,0.006578947368421052,1,1.0,0,0.5723684210526315,0.21233850129198964,logreg__no_sentiment
0.6500000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.675,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
0.7000000000000001,0.0,0,,0,0.5789473684210527,0.19753086419753085,logreg__no_sentiment
